 gp_segment_id |  count  
---------------+---------
            28 | 3317111
             5 | 3232238
            23 | 3217954
             9 | 3142896
            22 | 3086880
            21 | 3026643
             4 | 2945592
            19 | 2938331
            24 | 2929832
            20 | 2860150
            10 | 2833006
            13 | 2824255
            31 | 2815257
             0 | 2743204
            30 | 2721425
            12 | 2701632
            11 | 2699716
             8 | 2697621
            16 | 2696567
             3 | 2683228
            27 | 2636943
             7 | 2608623
            25 | 2578874
            15 | 2572430
             6 | 2506227
            29 | 2504745
             2 | 2446670
             1 | 2411444
            26 | 2377099
            17 | 2324364
            18 | 2270609
            14 | 2089689
(32 rows)

Ablimit info: segment 5 has been running for a very long time.

