x bos bsp fg hc slc str
864 2654.35150968 119.5038043 37254.1948666 4919.50355011 2584.94752345 1648.88928554
4322 2791.79611168 602.7984823 114675.482291 12827.8691119 2885.51962047 3246.5675871
8644 2939.9550793 1209.46972 192126.541696 21106.0374944 3146.19100059 3685.37235401
17288 3098.17609031 2392.907443 359002.247391 36549.6961714 3655.97374129 4551.64348527
43220 2990.762818 6061.241445 725881.520114 74466.670899 3767.36149744 5618.35764819
86441 4099.6241701 12326.73586 1212108.64115 153477.320834 3901.46431129 7428.49674183
172882 8462.58670722 23602.16822 1883803.4755 275941.410251 8486.31497444 10775.8317754
432206 30697.3096292 61536.48265 3174576.45961 602352.011901 30608.4953378 33026.0884674
864412 85725.7275759 122660.6331 5495776.87476 1324941.79137 85763.4585957 86379.9006319
4322062 920688.164465 644465.9806 9667119.68228 11233457.1128 920700.368847 735730.336179
