x bos bsp fg hc slc str
20 13.6325708278 0.503964957 0.131264434805 0.784494877798 16.0870990988 0.461345732417
100 2.73765571869 0.24852034 0.0577411904617 0.741234762851 3.21544703842 0.224976225026
200 1.4177641877 0.143337494 0.0407526674241 0.709893145523 1.60730979529 0.163069245718
400 0.741951949942 0.083289688 0.0291300033275 0.732621134229 0.803566541376 0.11737551857
1000 0.327175631587 0.048831728 0.0184480012286 0.710457739615 0.321364791775 0.0757732527117
2000 0.173849202677 0.029293918 0.0127326550985 0.687683480774 0.160897010555 0.0538495767759
4000 0.0887436575459 0.02002217 0.00927371639755 0.737580898901 0.0801979574197 0.0377505232463
10000 0.0369900194335 0.01146761 0.00594325115626 0.719789047564 0.0323738351247 0.0243415366016
20000 0.0172681127889 0.007311174 0.00431493619644 0.704379615938 0.0160729650493 0.0160212803242
100000 0.00416234319839 0.00269745 0.00193448542688 0.519630843081 0.00316162847248 0.0064517304046
