x bos bsp fg hc slc str
20 127.154945847 1.994678265 23.915390774 166.805323313 144.423710401 4.87851765285
100 130.04730887 11.70928248 110.969758207 427.146308889 146.03381127 10.0680114682
200 144.186430369 23.22151515 221.264288663 669.151921489 146.686093391 13.6701019943
400 163.948989725 48.24651996 429.629556914 1112.26571754 145.267023825 19.4309441362
1000 202.056152955 135.6606327 1023.32827582 1771.33326116 143.727267623 36.8068846667
2000 215.602405158 293.3840626 2019.40760918 3857.87218548 147.488067475 74.0112783924
4000 237.409962139 612.4647913 3726.99086722 6595.3240985 146.442535564 185.424023673
10000 656.751886222 1524.706086 8192.17318736 13179.0077904 629.394233977 564.271952008
20000 890.561645429 3019.129653 14468.4358762 18013.778558 875.0596386 793.137020984
100000 14669.1335625 14391.25837 54113.9418718 36546.8149434 14640.7661747 10195.3263645
